sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio
7.2,3.2,6.0,1.8,virginica,0.4444444444444445
6.2,2.8,4.8,1.8,virginica,0.4516129032258064
6.1,3.0,4.9,1.8,virginica,0.49180327868852464
6.4,2.8,5.6,2.1,virginica,0.43749999999999994
7.2,3.0,5.8,1.6,virginica,0.41666666666666663
7.4,2.8,6.1,1.9,virginica,0.37837837837837834
7.9,3.8,6.4,2.0,virginica,0.48101265822784806
6.4,2.8,5.6,2.2,virginica,0.43749999999999994
6.3,2.8,5.1,1.5,virginica,0.4444444444444444
6.1,2.6,5.6,1.4,virginica,0.42622950819672134
7.7,3.0,6.1,2.3,virginica,0.38961038961038963
6.3,3.4,5.6,2.4,virginica,0.5396825396825397
6.4,3.1,5.5,1.8,virginica,0.484375
6.0,3.0,4.8,1.8,virginica,0.5
6.9,3.1,5.4,2.1,virginica,0.4492753623188406
6.7,3.1,5.6,2.4,virginica,0.4626865671641791
6.9,3.1,5.1,2.3,virginica,0.4492753623188406
5.8,2.7,5.1,1.9,virginica,0.4655172413793104
6.8,3.2,5.9,2.3,virginica,0.4705882352941177
6.7,3.3,5.7,2.5,virginica,0.4925373134328358
6.7,3.0,5.2,2.3,virginica,0.44776119402985076
6.3,2.5,5.0,1.9,virginica,0.39682539682539686
6.5,3.0,5.2,2.0,virginica,0.46153846153846156
6.2,3.4,5.4,2.3,virginica,0.5483870967741935
5.9,3.0,5.1,1.8,virginica,0.5084745762711864
